method,sim_seed,N_sim,total_wait,mean_wait_all,mean_wait_served,mean_oracle_outcome_served,num_unserved,frac_unserved,sim_wall_s,alloc_0,alloc_1,N,ipw_value
S2-linear,18,5000,5.688839259302352,0.0011377678518604704,0.0011377678518604704,,0,0.0,0.01659083366394043,0.576,0.424,5000,0.04597720748628917
S2-lasso,18,5000,30287.116154583044,6.0574232309166085,6.0574232309166085,,0,0.0,0.016222000122070312,0.4952,0.5048,5000,0.0458680418653548
S2-knn,18,5000,8289624.884549387,1657.9249769098774,1450.0899140024796,,702,0.1404,0.015923023223876953,0.0998,0.9002,5000,0.046552783209811065
random,19,5000,1024.4148361452521,0.20488296722905042,0.20488296722905042,,0,0.0,0.023628950119018555,0.51,0.49,5000,0.0443782875492678
treat_all,19,5000,10873150.527408356,2174.6301054816713,1864.7329683005914,,1265,0.253,0.013684988021850586,0.0,1.0,5000,0.04811333098626983
F,19,5000,914.1401025088156,0.18282802050176314,0.18282802050176314,,0,0.0,0.01624894142150879,0.5334,0.4666,5000,0.047491929022660785
S2-linear,19,5000,115.05028447711078,0.023010056895422154,0.023010056895422154,,0,0.0,0.01639080047607422,0.5672,0.4328,5000,0.04597720748628917
S2-lasso,19,5000,7878.464959608434,1.5756929919216867,1.5756929919216867,,0,0.0,0.01623821258544922,0.5028,0.4972,5000,0.0458680418653548
S2-knn,19,5000,8347869.8905966785,1669.5739781193356,1454.1383331125826,,760,0.152,0.015871047973632812,0.101,0.899,5000,0.046552783209811065
random,20,5000,1519.2050222499442,0.30384100444998885,0.30384100444998885,,0,0.0,0.023856163024902344,0.4854,0.5146,5000,0.0443782875492678
treat_all,20,5000,10447361.138452467,2089.472227690493,1788.2976870153013,,1179,0.2358,0.013866901397705078,0.0,1.0,5000,0.04811333098626983
F,20,5000,7.276493450527083,0.0014552986901054164,0.0014552986901054164,,0,0.0,0.016236066818237305,0.5268,0.4732,5000,0.047491929022660785
S2-linear,20,5000,27.16141474755328,0.005432282949510656,0.005432282949510656,,0,0.0,0.016526222229003906,0.5792,0.4208,5000,0.04597720748628917
S2-lasso,20,5000,196.47617889782367,0.03929523577956474,0.03929523577956474,,0,0.0,0.01666712760925293,0.5074,0.4926,5000,0.0458680418653548
S2-knn,20,5000,8029163.060996082,1605.8326121992163,1401.0518467392087,,701,0.1402,0.016136884689331055,0.0956,0.9044,5000,0.046552783209811065
random,21,5000,1715.4214374998269,0.3430842874999654,0.3430842874999654,,0,0.0,0.023849010467529297,0.5036,0.4964,5000,0.0443782875492678
treat_all,21,5000,10463319.502100574,2092.6639004201147,1773.5082165540734,,1234,0.2468,0.01386404037475586,0.0,1.0,5000,0.04811333098626983
F,21,5000,398.16217579965354,0.07963243515993071,0.07963243515993071,,0,0.0,0.01657700538635254,0.527,0.473,5000,0.047491929022660785
S2-linear,21,5000,100.92866581495306,0.02018573316299061,0.02018573316299061,,0,0.0,0.016579866409301758,0.5798,0.4202,5000,0.04597720748628917
S2-lasso,21,5000,139.97081307635187,0.027994162615270376,0.027994162615270376,,0,0.0,0.016391277313232422,0.5034,0.4966,5000,0.0458680418653548
S2-knn,21,5000,7961285.492401807,1592.2570984803613,1378.8425540918251,,722,0.1444,0.015889883041381836,0.1024,0.8976,5000,0.046552783209811065
random,22,5000,6718.139289770094,1.3436278579540188,1.3436278579540188,,0,0.0,0.02389216423034668,0.502,0.498,5000,0.0443782875492678
treat_all,22,5000,10760406.514194548,2152.08130283891,1813.0362005462152,,1289,0.2578,0.013907909393310547,0.0,1.0,5000,0.04811333098626983
F,22,5000,198.82179461087495,0.03976435892217499,0.03976435892217499,,0,0.0,0.016450166702270508,0.5352,0.4648,5000,0.047491929022660785
S2-linear,22,5000,160.10814603045455,0.03202162920609091,0.03202162920609091,,0,0.0,0.01660323143005371,0.58,0.42,5000,0.04597720748628917
S2-lasso,22,5000,432.39258298995964,0.08647851659799193,0.08647851659799193,,0,0.0,0.016755104064941406,0.5076,0.4924,5000,0.0458680418653548
S2-knn,22,5000,8243991.969613535,1648.798393922707,1413.335542976798,,783,0.1566,0.01604771614074707,0.1012,0.8988,5000,0.046552783209811065
random,23,5000,112551.42072097897,22.510284144195793,22.510284144195793,,0,0.0,0.02359914779663086,0.4944,0.5056,5000,0.0443782875492678
treat_all,23,5000,10933612.067697821,2186.722413539564,1877.7368430893034,,1233,0.2466,0.013922929763793945,0.0,1.0,5000,0.04811333098626983
F,23,5000,4473.065926253969,0.8946131852507939,0.8946131852507939,,0,0.0,0.016767024993896484,0.534,0.466,5000,0.047491929022660785
S2-linear,23,5000,2.7675326614438234,0.0005535065322887647,0.0005535065322887647,,0,0.0,0.016557931900024414,0.5746,0.4254,5000,0.04597720748628917
S2-lasso,23,5000,3630.9234013343544,0.7261846802668709,0.7261846802668709,,0,0.0,0.016524076461791992,0.5076,0.4924,5000,0.0458680418653548
S2-knn,23,5000,8603585.057739414,1720.7170115478827,1503.7664877990535,,757,0.1514,0.015992164611816406,0.0952,0.9048,5000,0.046552783209811065
random,24,5000,0.0,0.0,0.0,,0,0.0,0.023825883865356445,0.5114,0.4886,5000,0.0443782875492678
treat_all,24,5000,10643671.985501308,2128.7343971002615,1803.3774574160664,,1275,0.255,0.01368403434753418,0.0,1.0,5000,0.04811333098626983
F,24,5000,0.0,0.0,0.0,,0,0.0,0.016288042068481445,0.5218,0.4782,5000,0.047491929022660785
S2-linear,24,5000,0.0,0.0,0.0,,0,0.0,0.016307830810546875,0.577,0.423,5000,0.04597720748628917
S2-lasso,24,5000,2313.8174006499808,0.46276348012999613,0.46276348012999613,,0,0.0,0.016502857208251953,0.5046,0.4954,5000,0.0458680418653548
S2-knn,24,5000,8340183.618303198,1668.0367236606396,1434.4881756821942,,802,0.1604,0.015853166580200195,0.0946,0.9054,5000,0.046552783209811065
random,25,5000,3947.30440545597,0.7894608810911941,0.7894608810911941,,0,0.0,0.02386307716369629,0.5128,0.4872,5000,0.0443782875492678
treat_all,25,5000,11153167.183476366,2230.6334366952733,1926.4045687683215,,1222,0.2444,0.014045953750610352,0.0,1.0,5000,0.04811333098626983
F,25,5000,4.230766836137638,0.0008461533672275277,0.0008461533672275277,,0,0.0,0.016722917556762695,0.535,0.465,5000,0.047491929022660785
