method,sim_seed,N_sim,total_wait,mean_wait_all,mean_wait_served,mean_oracle_outcome_served,num_unserved,frac_unserved,sim_wall_s,alloc_0,alloc_1,N,ipw_value
F,26,5000,4244.893969281063,0.8489787938562126,0.8489787938562126,,0,0.0,0.015202045440673828,0.5358,0.4642,200,0.04392541735135207
S2-linear,26,5000,693906.573966115,138.781314793223,138.781314793223,,0,0.0,0.015087127685546875,0.4588,0.5412,200,0.04519950416524283
S2-lasso,26,5000,2.518696867108169,0.0005037393734216338,0.0005037393734216338,,0,0.0,0.01519775390625,0.761,0.239,200,0.045202667490557805
S2-knn,26,5000,14.179591079025828,0.0028359182158051656,0.0028359182158051656,,0,0.0,0.015201091766357422,0.7482,0.2518,200,0.04494258989303332
random,27,5000,51416.045513877005,10.283209102775402,10.283209102775402,,0,0.0,0.02192211151123047,0.5096,0.4904,200,0.04337750741873452
treat_all,27,5000,11221234.768252801,2244.24695365056,1912.972298959723,,1356,0.2712,0.013916969299316406,0.0,1.0,200,0.04687417834476838
F,27,5000,597.9912078518639,0.11959824157037278,0.11959824157037278,,0,0.0,0.016244888305664062,0.5314,0.4686,200,0.04392541735135207
S2-linear,27,5000,732721.5824375399,146.54431648750798,146.54431648750798,,0,0.0,0.016052961349487305,0.4586,0.5414,200,0.04519950416524283
S2-lasso,27,5000,4.485821128192956,0.0008971642256385912,0.0008971642256385912,,0,0.0,0.015940189361572266,0.749,0.251,200,0.045202667490557805
S2-knn,27,5000,4.58091634400195,0.0009161832688003899,0.0009161832688003899,,0,0.0,0.0155029296875,0.74,0.26,200,0.04494258989303332
random,28,5000,25886.772993821643,5.177354598764329,5.177354598764329,,0,0.0,0.022052288055419922,0.5004,0.4996,200,0.04337750741873452
treat_all,28,5000,10917665.540500484,2183.533108100097,1848.9997322864394,,1301,0.2602,0.013939857482910156,0.0,1.0,200,0.04687417834476838
F,28,5000,4.613354763265003,0.0009226709526530006,0.0009226709526530006,,0,0.0,0.01540684700012207,0.5372,0.4628,200,0.04392541735135207
S2-linear,28,5000,424132.1580468511,84.82643160937022,84.82643160937022,,0,0.0,0.015136957168579102,0.467,0.533,200,0.04519950416524283
S2-lasso,28,5000,0.5981368477400694,0.00011962736954801388,0.00011962736954801388,,0,0.0,0.015400886535644531,0.7652,0.2348,200,0.045202667490557805
S2-knn,28,5000,0.2744436265742144,5.488872531484288e-05,5.488872531484288e-05,,0,0.0,0.015403032302856445,0.7512,0.2488,200,0.04494258989303332
random,29,5000,2019.498766139634,0.4038997532279268,0.4038997532279268,,0,0.0,0.022367000579833984,0.501,0.499,200,0.04337750741873452
treat_all,29,5000,10607791.977253808,2121.5583954507615,1832.6028373251218,,1141,0.2282,0.014014005661010742,0.0,1.0,200,0.04687417834476838
F,29,5000,27.037441912604915,0.005407488382520983,0.005407488382520983,,0,0.0,0.015443086624145508,0.5388,0.4612,200,0.04392541735135207
S2-linear,29,5000,422675.89984112134,84.53517996822427,84.53517996822427,,0,0.0,0.015304088592529297,0.4508,0.5492,200,0.04519950416524283
S2-lasso,29,5000,132.05805117495274,0.026411610234990546,0.026411610234990546,,0,0.0,0.01526188850402832,0.754,0.246,200,0.045202667490557805
S2-knn,29,5000,114.69537037243802,0.022939074074487604,0.022939074074487604,,0,0.0,0.015235662460327148,0.7404,0.2596,200,0.04494258989303332
random,0,5000,0.5678012377599861,0.00011356024755199723,0.00011356024755199723,,0,0.0,0.022654056549072266,0.504,0.496,1000,0.04337750741873452
